"FacilityId","ProduceDate","ShiftDefinitionShift","SortMold","SortOrderList","ZZSTYLCODE","ZZGENDER","ZZPARTNO","ZZATCOLR","ZZCOLORCODE","ProductSize","MoldNo","MoldInventory","SumBodySizeNeed","SumRequiredUpperMoldQuantity","SteerRequiredUpperMoldQuantity","ActualRequiredUpperMoldQuantity"
2210030000000000001,"20250602","6330_VNbc_3rdShift",1,"1",N,M,H0001,"50%WARM VANILLA S25","50%AFDM",UK_8,"18336",4.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",2,"2",N,M,H0001,CARBON S18/25%CARBON S18,AAGG/25%AAGG,UK_10,"64986",4.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",3,"3",N,W,H0001,LUCID LEMON F23/75%LUCID LEMON F23,AEWQ/75%AEWQ,UK_8-,"64986",2.00000000,0.00000000,1.00000000,1.00000000,1.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",4,"4",N,W,H0001,"80%GUM 2","80%18F0",UK_3-,"05344",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",5,"5",N,M,H0001,FTWR WHITE,"01F7",UK_6,"64699",2.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",6,"6",N,M,H0001,DASH GREY S20/90%DASH GREY S20,ADAN/90%ADAN,UK_6-,"64986",3.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",7,"7",N,W,H0001,SANDY PINK F24/50%SANDY PINK F24,AFB1/50%AFB1,UK_9,"64986",3.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",8,"8,477",N,W,H0001,GUM4,"26F0",UK_3-,"05344",1.00000000,338.00000000,12.00000000,2.00000000,2.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",9,"9",N,W,H0001,HALO SILVER S21/75%HALO SILVER S21,ADW8/75%ADW8,UK_3-,"64986",1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2210030000000000001,"20250602","6330_VNbc_3rdShift",10,"10,112,232,450,528",N,M,H0001,CORE BLACK/COLLEGIATE GOLD,A0QM/06F0,UK_11,"66331",2.00000000,309.00000000,13.00000000,10.00000000,2.00000000
