FacilityId,ShiftDate,ShiftName,ResourceId,ArticleGender,ArticlePart,MaintainHour,MoldChange,ShiftWork,MoldworkY,MoldworkN,ArticleMoldid,ArticleMoldsize,ArticleCode,ArticleColor,ArticlePartColor,MoldQty,moldpcsqty,AroudQty,ShiftMoldQty,HourMoldQty,WorkQty,ShiftWorkQty,ArticleQty,WorkSize,aufnr,AufnrFlag,plnbez,WorkQtyYet,ProductId,MoldPcsSeq,ThreadName,AufnrSeq,MoldSeq,RescourseMoldSeq
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,M,H0001,0,0,8,8,0,18336,UK_8,N,50%WARM VANILLA S25,50%AFDM,4,4,38.33,38.33,4.79,39,39,199,UK_8,100030850083,,HR0001000033527011,199,2412120000000000000,1,L1,1,1,1
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,M,H0001,0,0,8,8,0,18336,UK_8,N,50%WARM VANILLA S25,50%AFDM,4,4,38.33,38.33,4.79,39,39,160,UK_8,100030850083,,HR0001000033527011,160,2412120000000000000,1,L1,1,1,2
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,M,H0001,0,0,8,8,0,18336,UK_8,N,50%WARM VANILLA S25,50%AFDM,4,4,38.33,38.33,4.79,39,39,121,UK_8,100030850083,,HR0001000033527011,121,2412120000000000000,1,L1,1,1,3
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,M,H0001,0,0.33,7.67,7.67,0,18336,UK_8,N,50%WARM VANILLA S25,50%AFDM,4,4,38.33,36.75,4.79,37,37,82,UK_8,100030850083,,HR0001000033527011,82,2412120000000000000,1,L2,1,1,4
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,W,H0001,0,0.33,7.67,7.67,0,18336,UK_6,NA,50%GUM 3,50%19F0,5,9,38.33,66.15,8.62,67,67,534,UK_6,100030539383,,HR0001000029492007,534,2412120000000000000,1,L2,73,71,5
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,W,H0001,0,0.33,7.67,7.67,0,18336,UK_6,NA,50%GUM 3,50%19F0,5,9,38.33,66.15,8.62,67,67,467,UK_6,100030539383,,HR0001000029492007,467,2412120000000000000,1,L2,73,71,6
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,W,H0001,0,0.33,7.67,7.67,0,18336,UK_6,NA,50%GUM 3,50%19F0,5,9,38.33,66.15,8.62,67,67,400,UK_6,100030539383,,HR0001000029492007,400,2412120000000000000,1,L2,73,71,7
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,W,H0001,0,0.33,7.67,7.67,0,18336,UK_6,NA,50%GUM 3,50%19F0,5,9,38.33,66.15,8.62,67,67,333,UK_6,100030539383,,HR0001000029492007,333,2412120000000000000,1,L2,73,71,8
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,W,H0001,0,0.33,7.67,7.67,0,18336,UK_6,NA,50%GUM 3,50%19F0,5,9,38.33,66.15,8.62,67,67,266,UK_6,100030539383,,HR0001000029492007,266,2412120000000000000,2,L2,73,71,9
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,M,H0001,0,0.33,7.67,7.67,0,18336,UK_4-,N,50%WARM VANILLA S25,50%AFDM,5,5,38.33,36.75,4.79,37,37,55,UK_4-,100030849977,,HR0001000033527004,55,2412120000000000000,1,L2,224,204,10
